Text name: ./res/vae/22/log.txt
Namespace(batch_size=128, dropout=0.25, epoch=100, exp_case=[1, 2, 3], frame=5, gpu=0, h_dim=[256], id=22, k=10, light=True, lr=0.001, lr_rate=0.9, lr_step=50, mode='vae', norm=1, root='./dataset', sig_max=1, wd=0.0001, z_dim=128)
epoch: [0/100] loss: [178036408320.000] train_loss:[46.4987] test_loss: [49.1930]
[ID] recon avg: [49.193] kl_div avg: [519.066]
[OOD] recon avg: [18.677] kl_div avg: [373.020]
epoch: [1/100] loss: [36.576] train_loss:[27.5810] test_loss: [31.0471]
[ID] recon avg: [31.047] kl_div avg: [557.776]
[OOD] recon avg: [9.732] kl_div avg: [405.657]
epoch: [2/100] loss: [24.730] train_loss:[21.0611] test_loss: [24.9096]
[ID] recon avg: [24.910] kl_div avg: [557.571]
[OOD] recon avg: [7.642] kl_div avg: [405.980]
epoch: [3/100] loss: [19.346] train_loss:[17.0029] test_loss: [20.9592]
[ID] recon avg: [20.959] kl_div avg: [554.165]
[OOD] recon avg: [6.245] kl_div avg: [405.577]
epoch: [4/100] loss: [16.115] train_loss:[14.5373] test_loss: [18.6313]
[ID] recon avg: [18.631] kl_div avg: [549.764]
[OOD] recon avg: [5.361] kl_div avg: [404.013]
epoch: [5/100] loss: [14.016] train_loss:[12.9535] test_loss: [17.0102]
[ID] recon avg: [17.010] kl_div avg: [544.520]
[OOD] recon avg: [5.005] kl_div avg: [400.274]
epoch: [6/100] loss: [12.530] train_loss:[11.7430] test_loss: [15.9537]
[ID] recon avg: [15.954] kl_div avg: [538.625]
[OOD] recon avg: [4.812] kl_div avg: [398.402]
epoch: [7/100] loss: [11.328] train_loss:[10.6263] test_loss: [14.7864]
[ID] recon avg: [14.786] kl_div avg: [539.553]
[OOD] recon avg: [4.485] kl_div avg: [399.712]
epoch: [8/100] loss: [10.405] train_loss:[9.8921] test_loss: [13.9377]
[ID] recon avg: [13.938] kl_div avg: [538.610]
[OOD] recon avg: [4.251] kl_div avg: [399.979]
epoch: [9/100] loss: [9.623] train_loss:[9.3434] test_loss: [13.3333]
[ID] recon avg: [13.333] kl_div avg: [539.768]
[OOD] recon avg: [4.083] kl_div avg: [401.607]
epoch: [10/100] loss: [9.042] train_loss:[9.3325] test_loss: [13.2347]
[ID] recon avg: [13.235] kl_div avg: [536.551]
[OOD] recon avg: [4.007] kl_div avg: [401.058]
epoch: [11/100] loss: [8.588] train_loss:[8.5702] test_loss: [12.4432]
