Text name: ./res/vae/1/log.txt
Namespace(batch_size=128, dropout=0.25, epoch=100, exp_case=[1, 2, 3], frame=1, gpu=0, h_dim=[128], id=1, k=10, lr=0.001, lr_rate=0.9, lr_step=50, mode='vae', norm=1, root='.', sig_max=1, wd=0.0001, z_dim=32)
epoch: [0/100] loss: [824117.938] train_loss:[8.5806] test_loss: [11.4059]
[ID] recon avg: [11.406] kl_div avg: [119.021]
[OOD] recon avg: [4.410] kl_div avg: [54.635]
epoch: [1/100] loss: [5.930] train_loss:[4.0035] test_loss: [6.0532]
[ID] recon avg: [6.053] kl_div avg: [154.126]
[OOD] recon avg: [1.969] kl_div avg: [78.477]
epoch: [2/100] loss: [3.331] train_loss:[2.6001] test_loss: [4.2862]
[ID] recon avg: [4.286] kl_div avg: [169.042]
[OOD] recon avg: [1.328] kl_div avg: [89.684]
epoch: [3/100] loss: [2.332] train_loss:[1.8945] test_loss: [3.3333]
[ID] recon avg: [3.333] kl_div avg: [177.034]
[OOD] recon avg: [1.023] kl_div avg: [96.010]
epoch: [4/100] loss: [1.791] train_loss:[1.5196] test_loss: [2.7893]
[ID] recon avg: [2.789] kl_div avg: [181.905]
[OOD] recon avg: [0.860] kl_div avg: [100.635]
epoch: [5/100] loss: [1.460] train_loss:[1.2705] test_loss: [2.4208]
[ID] recon avg: [2.421] kl_div avg: [184.627]
[OOD] recon avg: [0.752] kl_div avg: [103.775]
epoch: [6/100] loss: [1.229] train_loss:[1.0787] test_loss: [2.1213]
[ID] recon avg: [2.121] kl_div avg: [186.137]
[OOD] recon avg: [0.664] kl_div avg: [106.207]
epoch: [7/100] loss: [1.055] train_loss:[0.9271] test_loss: [1.8873]
[ID] recon avg: [1.887] kl_div avg: [186.737]
[OOD] recon avg: [0.586] kl_div avg: [108.012]
epoch: [8/100] loss: [0.928] train_loss:[0.8172] test_loss: [1.7086]
[ID] recon avg: [1.709] kl_div avg: [187.282]
[OOD] recon avg: [0.528] kl_div avg: [109.640]
epoch: [9/100] loss: [0.831] train_loss:[0.7345] test_loss: [1.5741]
[ID] recon avg: [1.574] kl_div avg: [187.163]
[OOD] recon avg: [0.474] kl_div avg: [110.851]
epoch: [10/100] loss: [0.755] train_loss:[0.6634] test_loss: [1.4550]
[ID] recon avg: [1.455] kl_div avg: [187.133]
[OOD] recon avg: [0.431] kl_div avg: [112.111]
epoch: [11/100] loss: [0.691] train_loss:[0.6140] test_loss: [1.3681]
[ID] recon avg: [1.368] kl_div avg: [186.938]
[OOD] recon avg: [0.397] kl_div avg: [113.264]
epoch: [12/100] loss: [0.637] train_loss:[0.5710] test_loss: [1.2868]
[ID] recon avg: [1.287] kl_div avg: [186.963]
[OOD] recon avg: [0.372] kl_div avg: [114.558]
epoch: [13/100] loss: [0.591] train_loss:[0.5331] test_loss: [1.2082]
[ID] recon avg: [1.208] kl_div avg: [186.648]
[OOD] recon avg: [0.349] kl_div avg: [115.446]
epoch: [14/100] loss: [0.553] train_loss:[0.4964] test_loss: [1.1374]
[ID] recon avg: [1.137] kl_div avg: [185.853]
[OOD] recon avg: [0.328] kl_div avg: [116.063]
epoch: [15/100] loss: [0.520] train_loss:[0.4689] test_loss: [1.0696]
[ID] recon avg: [1.070] kl_div avg: [185.781]
[OOD] recon avg: [0.317] kl_div avg: [116.906]
epoch: [16/100] loss: [0.490] train_loss:[0.4448] test_loss: [1.0135]
[ID] recon avg: [1.014] kl_div avg: [185.424]
[OOD] recon avg: [0.304] kl_div avg: [117.475]
epoch: [17/100] loss: [0.463] train_loss:[0.4219] test_loss: [0.9582]
[ID] recon avg: [0.958] kl_div avg: [185.054]
[OOD] recon avg: [0.296] kl_div avg: [118.114]
epoch: [18/100] loss: [0.440] train_loss:[0.4036] test_loss: [0.9103]
[ID] recon avg: [0.910] kl_div avg: [184.296]
[OOD] recon avg: [0.285] kl_div avg: [118.496]
epoch: [19/100] loss: [0.418] train_loss:[0.3853] test_loss: [0.8643]
[ID] recon avg: [0.864] kl_div avg: [183.392]
[OOD] recon avg: [0.276] kl_div avg: [118.720]
epoch: [20/100] loss: [0.398] train_loss:[0.3687] test_loss: [0.8199]
[ID] recon avg: [0.820] kl_div avg: [183.095]
[OOD] recon avg: [0.269] kl_div avg: [119.309]
epoch: [21/100] loss: [0.380] train_loss:[0.3546] test_loss: [0.7870]
[ID] recon avg: [0.787] kl_div avg: [182.452]
[OOD] recon avg: [0.259] kl_div avg: [119.673]
epoch: [22/100] loss: [0.362] train_loss:[0.3392] test_loss: [0.7468]
[ID] recon avg: [0.747] kl_div avg: [181.724]
[OOD] recon avg: [0.251] kl_div avg: [119.818]
epoch: [23/100] loss: [0.349] train_loss:[0.3226] test_loss: [0.7230]
[ID] recon avg: [0.723] kl_div avg: [181.486]
