Text name: ./res/vae/2/log.txt
Namespace(batch_size=128, dropout=0.25, epoch=100, exp_case=[1, 2, 3], frame=5, gpu=0, h_dim=[256], id=2, k=10, lr=0.001, lr_rate=0.9, lr_step=50, mode='vae', norm=1, root='.', sig_max=1, wd=0.0001, z_dim=128)
epoch: [32/100] loss: [5.123] train_loss:[5.5092] test_loss: [6.8176]
[ID] recon avg: [6.818] kl_div avg: [511.801]
[OOD] recon avg: [2.779] kl_div avg: [392.931]
epoch: [33/100] loss: [5.053] train_loss:[5.3875] test_loss: [6.7820]
[ID] recon avg: [6.782] kl_div avg: [512.505]
[OOD] recon avg: [2.722] kl_div avg: [392.406]
epoch: [34/100] loss: [4.936] train_loss:[5.3186] test_loss: [6.6145]
[ID] recon avg: [6.615] kl_div avg: [513.943]
[OOD] recon avg: [2.744] kl_div avg: [394.500]
epoch: [35/100] loss: [4.958] train_loss:[5.4448] test_loss: [6.7537]
[ID] recon avg: [6.754] kl_div avg: [509.465]
[OOD] recon avg: [2.695] kl_div avg: [391.746]
epoch: [36/100] loss: [4.817] train_loss:[5.6083] test_loss: [6.8779]
[ID] recon avg: [6.878] kl_div avg: [512.394]
[OOD] recon avg: [2.657] kl_div avg: [392.973]
epoch: [37/100] loss: [4.836] train_loss:[5.2368] test_loss: [6.4683]
[ID] recon avg: [6.468] kl_div avg: [513.577]
[OOD] recon avg: [2.619] kl_div avg: [393.612]
epoch: [38/100] loss: [4.730] train_loss:[5.1110] test_loss: [6.3578]
[ID] recon avg: [6.358] kl_div avg: [511.949]
[OOD] recon avg: [2.663] kl_div avg: [392.309]
epoch: [39/100] loss: [4.721] train_loss:[5.3079] test_loss: [6.4243]
[ID] recon avg: [6.424] kl_div avg: [513.954]
[OOD] recon avg: [2.592] kl_div avg: [394.333]
epoch: [40/100] loss: [4.660] train_loss:[5.0202] test_loss: [6.1928]
[ID] recon avg: [6.193] kl_div avg: [512.036]
[OOD] recon avg: [2.595] kl_div avg: [392.417]
epoch: [41/100] loss: [4.479] train_loss:[4.8193] test_loss: [5.9866]
[ID] recon avg: [5.987] kl_div avg: [516.449]
[OOD] recon avg: [2.511] kl_div avg: [394.468]
epoch: [42/100] loss: [4.533] train_loss:[5.1671] test_loss: [6.3022]
[ID] recon avg: [6.302] kl_div avg: [511.613]
[OOD] recon avg: [2.580] kl_div avg: [391.265]
epoch: [43/100] loss: [4.558] train_loss:[4.9631] test_loss: [6.1169]
[ID] recon avg: [6.117] kl_div avg: [516.662]
[OOD] recon avg: [2.497] kl_div avg: [394.210]
epoch: [44/100] loss: [4.504] train_loss:[5.0687] test_loss: [6.1740]
[ID] recon avg: [6.174] kl_div avg: [512.661]
[OOD] recon avg: [2.474] kl_div avg: [391.907]
epoch: [45/100] loss: [4.381] train_loss:[4.8388] test_loss: [6.0150]
[ID] recon avg: [6.015] kl_div avg: [512.412]
[OOD] recon avg: [2.399] kl_div avg: [392.642]
epoch: [46/100] loss: [4.349] train_loss:[4.6125] test_loss: [5.8033]
[ID] recon avg: [5.803] kl_div avg: [510.655]
[OOD] recon avg: [2.423] kl_div avg: [390.674]
epoch: [47/100] loss: [4.274] train_loss:[4.7754] test_loss: [5.8284]
[ID] recon avg: [5.828] kl_div avg: [517.555]
[OOD] recon avg: [2.362] kl_div avg: [397.651]
epoch: [48/100] loss: [4.298] train_loss:[4.9986] test_loss: [6.0853]
[ID] recon avg: [6.085] kl_div avg: [508.751]
[OOD] recon avg: [2.382] kl_div avg: [390.308]
epoch: [49/100] loss: [4.338] train_loss:[4.8463] test_loss: [6.0143]
[ID] recon avg: [6.014] kl_div avg: [519.173]
[OOD] recon avg: [2.282] kl_div avg: [399.094]
epoch: [50/100] loss: [3.929] train_loss:[4.4336] test_loss: [5.6387]
[ID] recon avg: [5.639] kl_div avg: [519.071]
[OOD] recon avg: [2.259] kl_div avg: [398.216]
epoch: [51/100] loss: [3.730] train_loss:[4.0107] test_loss: [5.2308]
[ID] recon avg: [5.231] kl_div avg: [521.767]
[OOD] recon avg: [2.159] kl_div avg: [401.570]
epoch: [52/100] loss: [3.656] train_loss:[4.2124] test_loss: [5.3633]
[ID] recon avg: [5.363] kl_div avg: [519.030]
